,Tmin,DateTime
2013-06-01,64.04,2013-06-01
2013-06-02,62.96,2013-06-02
2013-06-03,64.94,2013-06-03
2013-06-04,64.04,2013-06-04
2013-06-05,62.96,2013-06-05
2013-06-06,62.06,2013-06-06
2013-06-07,62.06,2013-06-07
2013-06-08,62.06,2013-06-08
2013-06-09,62.06,2013-06-09
2013-06-10,62.06,2013-06-10
2013-06-11,62.96,2013-06-11
2013-06-12,62.96,2013-06-12
2013-06-13,62.06,2013-06-13
2013-06-14,62.06,2013-06-14
2013-06-15,60.98,2013-06-15
2013-06-16,62.06,2013-06-16
2013-06-17,60.98,2013-06-17
2013-06-18,60.08,2013-06-18
2013-06-19,62.96,2013-06-19
2013-06-20,62.06,2013-06-20
2013-06-21,60.98,2013-06-21
2013-06-22,62.06,2013-06-22
2013-06-23,62.96,2013-06-23
2013-06-24,64.04,2013-06-24
2013-06-25,64.04,2013-06-25
2013-06-26,64.04,2013-06-26
2013-06-27,64.04,2013-06-27
2013-06-28,62.06,2013-06-28
2013-06-29,64.04,2013-06-29
2013-06-30,62.96,2013-06-30
2013-07-01,66.92,2013-07-01
2013-07-02,66.02,2013-07-02
2013-07-03,64.94,2013-07-03
2013-07-04,64.94,2013-07-04
2013-07-05,64.04,2013-07-05
2013-07-06,64.94,2013-07-06
2013-07-07,66.02,2013-07-07
2013-07-08,64.94,2013-07-08
2013-07-09,64.04,2013-07-09
2013-07-10,64.94,2013-07-10
2013-07-11,66.02,2013-07-11
2013-07-12,66.92,2013-07-12
2013-07-13,62.06,2013-07-13
2013-07-14,62.96,2013-07-14
2013-07-15,64.04,2013-07-15
2013-07-16,64.04,2013-07-16
2013-07-17,62.06,2013-07-17
2013-07-18,,2013-07-18
2013-07-19,62.96,2013-07-19
2013-07-20,62.96,2013-07-20
2013-07-21,64.94,2013-07-21
2013-07-22,66.02,2013-07-22
2013-07-23,64.94,2013-07-23
2013-07-24,62.96,2013-07-24
2013-07-25,62.06,2013-07-25
2013-07-26,62.96,2013-07-26
2013-07-27,62.96,2013-07-27
2013-07-28,62.96,2013-07-28
2013-07-29,62.96,2013-07-29
2013-07-30,62.96,2013-07-30
2013-07-31,62.96,2013-07-31
2013-08-01,62.96,2013-08-01
2013-08-02,62.06,2013-08-02
2013-08-03,62.96,2013-08-03
2013-08-04,62.96,2013-08-04
2013-08-05,60.98,2013-08-05
2013-08-06,60.98,2013-08-06
2013-08-07,62.06,2013-08-07
2013-08-08,62.06,2013-08-08
2013-08-09,62.06,2013-08-09
2013-08-10,62.06,2013-08-10
2013-08-11,62.06,2013-08-11
2013-08-12,62.96,2013-08-12
2013-08-13,62.06,2013-08-13
2013-08-14,62.06,2013-08-14
2013-08-15,64.04,2013-08-15
2013-08-16,64.04,2013-08-16
2013-08-17,62.96,2013-08-17
2013-08-18,62.06,2013-08-18
2013-08-19,,2013-08-19
2013-08-20,64.04,2013-08-20
2013-08-21,62.06,2013-08-21
2013-08-22,62.96,2013-08-22
2013-08-23,64.04,2013-08-23
2013-08-24,62.06,2013-08-24
2013-08-25,60.98,2013-08-25
2013-08-26,57.02,2013-08-26
2013-08-27,62.06,2013-08-27
2013-08-28,64.94,2013-08-28
2013-08-29,64.94,2013-08-29
2013-08-30,66.02,2013-08-30
2013-08-31,71.96,2013-08-31
