,DateTime,Tmin
106,2017-06-01,60.08
419,2017-06-02,60.98
734,2017-06-03,59.0
1051,2017-06-04,60.98
1370,2017-06-05,60.98
1688,2017-06-06,60.08
2004,2017-06-07,62.06
2321,2017-06-08,60.98
2635,2017-06-09,60.08
2949,2017-06-10,57.92
3261,2017-06-11,60.98
3580,2017-06-12,60.08
3892,2017-06-13,55.94
4204,2017-06-14,57.02
4516,2017-06-15,60.08
4829,2017-06-16,60.98
5145,2017-06-17,62.06
5458,2017-06-18,62.06
5744,2017-06-19,60.98
5905,2017-06-20,60.98
6127,2017-06-21,60.98
6444,2017-06-22,62.06
6757,2017-06-23,62.96
7070,2017-06-24,60.98
7392,2017-06-25,60.98
7704,2017-06-26,62.96
8017,2017-06-27,64.04
8222,2017-06-28,62.06
8378,2017-06-29,60.98
8693,2017-06-30,62.96
104,2017-07-01,60.98
418,2017-07-02,62.06
730,2017-07-03,62.96
1045,2017-07-04,62.96
1361,2017-07-05,62.06
1645,2017-07-06,62.96
1958,2017-07-07,64.04
2271,2017-07-08,66.02
2583,2017-07-09,69.98
2895,2017-07-10,69.08
3209,2017-07-11,68.0
3525,2017-07-12,66.92
3835,2017-07-13,64.94
4147,2017-07-14,64.94
4459,2017-07-15,64.04
4771,2017-07-16,64.94
5084,2017-07-17,66.92
5397,2017-07-18,68.0
5709,2017-07-19,66.92
6023,2017-07-20,66.92
6337,2017-07-21,66.92
6652,2017-07-22,66.02
6964,2017-07-23,66.02
7278,2017-07-24,66.92
7592,2017-07-25,66.92
7900,2017-07-26,68.0
8218,2017-07-27,66.92
8530,2017-07-28,66.92
8846,2017-07-29,66.02
9159,2017-07-30,66.02
9474,2017-07-31,64.94
104,2017-08-01,64.94
415,2017-08-02,66.92
728,2017-08-03,71.06
1040,2017-08-04,71.96
1352,2017-08-05,69.08
1665,2017-08-06,68.0
1978,2017-08-07,66.92
2291,2017-08-08,66.92
2602,2017-08-09,66.92
2913,2017-08-10,66.02
3225,2017-08-11,66.02
3529,2017-08-12,66.02
3843,2017-08-13,64.04
4158,2017-08-14,64.94
4472,2017-08-15,64.94
4788,2017-08-16,64.94
5103,2017-08-17,66.02
5417,2017-08-18,64.94
5734,2017-08-19,64.94
6047,2017-08-20,66.02
6362,2017-08-21,66.02
6675,2017-08-22,66.92
6987,2017-08-23,66.02
7304,2017-08-24,66.02
7617,2017-08-25,66.02
7933,2017-08-26,66.92
8250,2017-08-27,66.02
8567,2017-08-28,64.94
8883,2017-08-29,68.0
9195,2017-08-30,66.92
9506,2017-08-31,68.0
