,Tmin,DateTime
2011-06-01,51.98,2011-06-01
2011-06-02,53.06,2011-06-02
2011-06-03,53.96,2011-06-03
2011-06-04,53.96,2011-06-04
2011-06-05,55.04,2011-06-05
2011-06-06,55.94,2011-06-06
2011-06-07,57.02,2011-06-07
2011-06-08,55.04,2011-06-08
2011-06-09,59.0,2011-06-09
2011-06-10,57.92,2011-06-10
2011-06-11,59.0,2011-06-11
2011-06-12,57.92,2011-06-12
2011-06-13,59.0,2011-06-13
2011-06-14,57.92,2011-06-14
2011-06-15,57.02,2011-06-15
2011-06-16,57.02,2011-06-16
2011-06-17,,2011-06-17
2011-06-18,60.08,2011-06-18
2011-06-19,60.08,2011-06-19
2011-06-20,60.08,2011-06-20
2011-06-21,60.08,2011-06-21
2011-06-22,60.08,2011-06-22
2011-06-23,59.0,2011-06-23
2011-06-24,60.98,2011-06-24
2011-06-25,62.06,2011-06-25
2011-06-26,60.98,2011-06-26
2011-06-27,60.98,2011-06-27
2011-06-28,60.98,2011-06-28
2011-06-29,62.06,2011-06-29
2011-06-30,60.98,2011-06-30
2011-07-01,62.06,2011-07-01
2011-07-02,62.96,2011-07-02
2011-07-03,64.04,2011-07-03
2011-07-04,62.96,2011-07-04
2011-07-05,62.96,2011-07-05
2011-07-06,66.02,2011-07-06
2011-07-07,66.92,2011-07-07
2011-07-08,66.92,2011-07-08
2011-07-09,64.94,2011-07-09
2011-07-10,64.04,2011-07-10
2011-07-11,64.04,2011-07-11
2011-07-12,62.96,2011-07-12
2011-07-13,62.96,2011-07-13
2011-07-14,62.96,2011-07-14
2011-07-15,62.06,2011-07-15
2011-07-16,62.96,2011-07-16
2011-07-17,62.06,2011-07-17
2011-07-18,60.98,2011-07-18
2011-07-19,62.06,2011-07-19
2011-07-20,64.04,2011-07-20
2011-07-21,59.0,2011-07-21
2011-07-22,60.08,2011-07-22
2011-07-23,62.06,2011-07-23
2011-07-24,62.06,2011-07-24
2011-07-25,60.08,2011-07-25
2011-07-26,64.94,2011-07-26
2011-07-27,64.94,2011-07-27
2011-07-28,64.94,2011-07-28
2011-07-29,66.02,2011-07-29
2011-07-30,64.04,2011-07-30
2011-07-31,64.04,2011-07-31
2011-08-01,62.96,2011-08-01
2011-08-02,64.04,2011-08-02
2011-08-03,62.06,2011-08-03
2011-08-04,60.98,2011-08-04
2011-08-05,59.0,2011-08-05
2011-08-06,60.98,2011-08-06
2011-08-07,59.0,2011-08-07
2011-08-08,60.08,2011-08-08
2011-08-09,60.98,2011-08-09
2011-08-10,60.08,2011-08-10
2011-08-11,62.96,2011-08-11
2011-08-12,62.96,2011-08-12
2011-08-13,62.06,2011-08-13
2011-08-14,62.06,2011-08-14
2011-08-15,62.96,2011-08-15
2011-08-16,,2011-08-16
2011-08-17,,2011-08-17
2011-08-18,62.06,2011-08-18
2011-08-19,62.06,2011-08-19
2011-08-20,,2011-08-20
2011-08-21,62.96,2011-08-21
2011-08-22,62.06,2011-08-22
2011-08-23,62.06,2011-08-23
2011-08-24,62.96,2011-08-24
2011-08-25,62.96,2011-08-25
2011-08-26,64.04,2011-08-26
2011-08-27,66.02,2011-08-27
2011-08-28,66.02,2011-08-28
2011-08-29,66.02,2011-08-29
2011-08-30,64.04,2011-08-30
2011-08-31,62.06,2011-08-31
