,DateTime,Tmax
11,2007-06-01,64.94
40,2007-06-02,66.02
69,2007-06-03,68.0
96,2007-06-04,66.02
131,2007-06-05,62.96
164,2007-06-06,64.04
188,2007-06-07,66.92
213,2007-06-08,69.08
239,2007-06-09,69.08
266,2007-06-10,68.0
296,2007-06-11,68.0
324,2007-06-12,68.0
352,2007-06-13,69.08
382,2007-06-14,68.0
413,2007-06-15,71.06
443,2007-06-16,71.06
472,2007-06-17,69.98
499,2007-06-18,69.08
528,2007-06-19,69.98
555,2007-06-20,69.98
583,2007-06-21,69.98
607,2007-06-22,75.92
631,2007-06-23,75.02
660,2007-06-24,73.04
688,2007-06-25,69.98
713,2007-06-26,71.06
738,2007-06-27,71.96
764,2007-06-28,69.98
792,2007-06-29,73.94
817,2007-06-30,73.94
8,2007-07-01,73.94
32,2007-07-02,75.92
56,2007-07-03,78.08
81,2007-07-04,78.08
111,2007-07-05,73.04
142,2007-07-06,71.96
170,2007-07-07,73.04
207,2007-07-08,69.98
236,2007-07-09,73.94
264,2007-07-10,73.94
299,2007-07-11,73.94
330,2007-07-12,71.96
354,2007-07-13,73.04
378,2007-07-14,77.0
403,2007-07-15,75.92
435,2007-07-16,75.92
468,2007-07-17,73.94
495,2007-07-18,71.96
521,2007-07-19,71.96
546,2007-07-20,73.04
575,2007-07-21,75.02
603,2007-07-22,73.94
630,2007-07-23,73.04
656,2007-07-24,78.98
684,2007-07-25,75.02
713,2007-07-26,73.94
737,2007-07-27,78.98
762,2007-07-28,80.06
787,2007-07-29,78.98
813,2007-07-30,77.0
840,2007-07-31,75.02
8,2007-08-01,75.92
37,2007-08-02,75.92
68,2007-08-03,78.98
100,2007-08-04,73.94
127,2007-08-05,75.02
157,2007-08-06,75.92
182,2007-08-07,73.94
208,2007-08-08,75.02
232,2007-08-09,73.94
260,2007-08-10,73.04
292,2007-08-11,73.04
320,2007-08-12,71.96
344,2007-08-13,73.94
368,2007-08-14,80.06
392,2007-08-15,80.96
416,2007-08-16,78.98
440,2007-08-17,78.98
464,2007-08-18,84.02
488,2007-08-19,82.94
512,2007-08-20,80.06
537,2007-08-21,78.08
566,2007-08-22,80.96
599,2007-08-23,77.0
628,2007-08-24,73.04
658,2007-08-25,71.96
682,2007-08-26,73.04
706,2007-08-27,80.96
730,2007-08-28,75.02
754,2007-08-29,73.94
778,2007-08-30,73.94
805,2007-08-31,80.96
