,Tmax,DateTime
2013-06-01,73.04,2013-06-01
2013-06-02,73.04,2013-06-02
2013-06-03,75.92,2013-06-03
2013-06-04,73.04,2013-06-04
2013-06-05,71.06,2013-06-05
2013-06-06,69.08,2013-06-06
2013-06-07,66.92,2013-06-07
2013-06-08,66.92,2013-06-08
2013-06-09,71.96,2013-06-09
2013-06-10,69.98,2013-06-10
2013-06-11,73.04,2013-06-11
2013-06-12,71.96,2013-06-12
2013-06-13,69.08,2013-06-13
2013-06-14,71.96,2013-06-14
2013-06-15,73.04,2013-06-15
2013-06-16,71.96,2013-06-16
2013-06-17,71.06,2013-06-17
2013-06-18,71.06,2013-06-18
2013-06-19,73.04,2013-06-19
2013-06-20,73.94,2013-06-20
2013-06-21,75.02,2013-06-21
2013-06-22,75.02,2013-06-22
2013-06-23,73.94,2013-06-23
2013-06-24,71.96,2013-06-24
2013-06-25,73.94,2013-06-25
2013-06-26,71.96,2013-06-26
2013-06-27,73.94,2013-06-27
2013-06-28,82.04,2013-06-28
2013-06-29,75.92,2013-06-29
2013-06-30,75.92,2013-06-30
2013-07-01,84.92,2013-07-01
2013-07-02,80.96,2013-07-02
2013-07-03,77.0,2013-07-03
2013-07-04,73.94,2013-07-04
2013-07-05,73.94,2013-07-05
2013-07-06,73.94,2013-07-06
2013-07-07,75.02,2013-07-07
2013-07-08,71.96,2013-07-08
2013-07-09,75.02,2013-07-09
2013-07-10,75.92,2013-07-10
2013-07-11,77.0,2013-07-11
2013-07-12,73.94,2013-07-12
2013-07-13,78.98,2013-07-13
2013-07-14,73.04,2013-07-14
2013-07-15,75.02,2013-07-15
2013-07-16,75.02,2013-07-16
2013-07-17,75.02,2013-07-17
2013-07-18,,2013-07-18
2013-07-19,73.04,2013-07-19
2013-07-20,73.04,2013-07-20
2013-07-21,73.94,2013-07-21
2013-07-22,71.96,2013-07-22
2013-07-23,73.94,2013-07-23
2013-07-24,73.04,2013-07-24
2013-07-25,69.98,2013-07-25
2013-07-26,73.04,2013-07-26
2013-07-27,73.04,2013-07-27
2013-07-28,69.98,2013-07-28
2013-07-29,71.06,2013-07-29
2013-07-30,71.96,2013-07-30
2013-07-31,71.96,2013-07-31
2013-08-01,69.98,2013-08-01
2013-08-02,69.98,2013-08-02
2013-08-03,73.04,2013-08-03
2013-08-04,73.94,2013-08-04
2013-08-05,71.06,2013-08-05
2013-08-06,71.96,2013-08-06
2013-08-07,71.06,2013-08-07
2013-08-08,71.06,2013-08-08
2013-08-09,71.06,2013-08-09
2013-08-10,71.06,2013-08-10
2013-08-11,71.96,2013-08-11
2013-08-12,71.96,2013-08-12
2013-08-13,73.04,2013-08-13
2013-08-14,73.04,2013-08-14
2013-08-15,73.04,2013-08-15
2013-08-16,73.04,2013-08-16
2013-08-17,73.04,2013-08-17
2013-08-18,71.06,2013-08-18
2013-08-19,,2013-08-19
2013-08-20,73.04,2013-08-20
2013-08-21,71.06,2013-08-21
2013-08-22,73.04,2013-08-22
2013-08-23,77.0,2013-08-23
2013-08-24,77.0,2013-08-24
2013-08-25,69.08,2013-08-25
2013-08-26,71.06,2013-08-26
2013-08-27,78.08,2013-08-27
2013-08-28,75.92,2013-08-28
2013-08-29,78.98,2013-08-29
2013-08-30,82.94,2013-08-30
2013-08-31,91.94,2013-08-31
