,DateTime,Tmax
104,2019-06-01,66.92
417,2019-06-02,66.02
730,2019-06-03,66.92
1047,2019-06-04,69.08
1360,2019-06-05,69.08
1677,2019-06-06,69.98
1995,2019-06-07,69.08
2310,2019-06-08,69.08
2625,2019-06-09,71.96
2942,2019-06-10,71.96
3257,2019-06-11,80.06
3567,2019-06-12,75.92
3887,2019-06-13,71.96
4202,2019-06-14,69.08
4520,2019-06-15,69.98
4834,2019-06-16,71.96
5154,2019-06-17,69.98
5473,2019-06-18,69.98
5793,2019-06-19,71.06
6108,2019-06-20,71.96
6424,2019-06-21,69.98
6740,2019-06-22,69.98
7055,2019-06-23,71.96
7371,2019-06-24,71.06
7687,2019-06-25,69.08
8005,2019-06-26,68.0
8323,2019-06-27,69.98
8639,2019-06-28,71.96
8954,2019-06-29,73.04
9267,2019-06-30,78.08
103,2019-07-01,78.08
416,2019-07-02,75.02
730,2019-07-03,75.02
1045,2019-07-04,75.02
1359,2019-07-05,73.94
1675,2019-07-06,73.94
1994,2019-07-07,71.96
2309,2019-07-08,71.96
2622,2019-07-09,73.94
2936,2019-07-10,75.02
3250,2019-07-11,71.96
3564,2019-07-12,73.94
3879,2019-07-13,75.02
4192,2019-07-14,75.02
4507,2019-07-15,73.04
4823,2019-07-16,71.96
5142,2019-07-17,73.04
5455,2019-07-18,73.94
5769,2019-07-19,73.04
6083,2019-07-20,73.04
6396,2019-07-21,73.94
6710,2019-07-22,71.96
7022,2019-07-23,75.02
7334,2019-07-24,80.06
7646,2019-07-25,82.94
7958,2019-07-26,87.08
8271,2019-07-27,80.06
8583,2019-07-28,78.98
8897,2019-07-29,73.04
9213,2019-07-30,73.04
9529,2019-07-31,73.94
105,2019-08-01,73.94
422,2019-08-02,71.96
735,2019-08-03,75.02
1049,2019-08-04,73.94
1368,2019-08-05,73.94
1682,2019-08-06,71.06
1997,2019-08-07,73.04
2312,2019-08-08,73.04
2626,2019-08-09,69.08
2942,2019-08-10,71.96
3255,2019-08-11,73.04
3577,2019-08-12,73.94
3894,2019-08-13,73.04
4207,2019-08-14,71.06
4525,2019-08-15,73.94
4842,2019-08-16,75.02
5155,2019-08-17,75.02
5468,2019-08-18,75.92
5780,2019-08-19,75.92
6095,2019-08-20,77.0
6409,2019-08-21,78.08
6512,2019-08-22,80.06
6641,2019-08-23,80.06
6957,2019-08-24,82.94
7269,2019-08-25,80.06
7581,2019-08-26,80.06
7893,2019-08-27,84.92
8207,2019-08-28,80.06
8525,2019-08-29,80.06
8837,2019-08-30,80.06
9149,2019-08-31,82.04
