,Tmax,DateTime
2005-06-01,71.06,2005-06-01
2005-06-02,69.08,2005-06-02
2005-06-03,69.98,2005-06-03
2005-06-04,69.98,2005-06-04
2005-06-05,69.98,2005-06-05
2005-06-06,69.98,2005-06-06
2005-06-07,,2005-06-07
2005-06-08,,2005-06-08
2005-06-09,71.06,2005-06-09
2005-06-10,71.06,2005-06-10
2005-06-11,71.96,2005-06-11
2005-06-12,,2005-06-12
2005-06-13,71.06,2005-06-13
2005-06-14,71.06,2005-06-14
2005-06-15,71.06,2005-06-15
2005-06-16,71.96,2005-06-16
2005-06-17,71.06,2005-06-17
2005-06-18,,2005-06-18
2005-06-19,69.98,2005-06-19
2005-06-20,73.04,2005-06-20
2005-06-21,75.02,2005-06-21
2005-06-22,75.02,2005-06-22
2005-06-23,78.08,2005-06-23
2005-06-24,69.98,2005-06-24
2005-06-25,71.96,2005-06-25
2005-06-26,71.06,2005-06-26
2005-06-27,71.06,2005-06-27
2005-06-28,71.96,2005-06-28
2005-06-29,71.06,2005-06-29
2005-06-30,71.06,2005-06-30
2005-07-01,69.08,2005-07-01
2005-07-02,69.98,2005-07-02
2005-07-03,71.06,2005-07-03
2005-07-04,71.06,2005-07-04
2005-07-05,71.96,2005-07-05
2005-07-06,69.98,2005-07-06
2005-07-07,71.96,2005-07-07
2005-07-08,71.96,2005-07-08
2005-07-09,73.04,2005-07-09
2005-07-10,73.94,2005-07-10
2005-07-11,73.94,2005-07-11
2005-07-12,73.04,2005-07-12
2005-07-13,73.04,2005-07-13
2005-07-14,71.06,2005-07-14
2005-07-15,71.96,2005-07-15
2005-07-16,77.0,2005-07-16
2005-07-17,73.94,2005-07-17
2005-07-18,71.96,2005-07-18
2005-07-19,71.96,2005-07-19
2005-07-20,77.0,2005-07-20
2005-07-21,87.08,2005-07-21
2005-07-22,84.02,2005-07-22
2005-07-23,82.04,2005-07-23
2005-07-24,86.0,2005-07-24
2005-07-25,78.98,2005-07-25
2005-07-26,75.92,2005-07-26
2005-07-27,75.02,2005-07-27
2005-07-28,75.02,2005-07-28
2005-07-29,75.02,2005-07-29
2005-07-30,73.04,2005-07-30
2005-07-31,73.94,2005-07-31
2005-08-01,73.94,2005-08-01
2005-08-02,71.96,2005-08-02
2005-08-03,73.04,2005-08-03
2005-08-04,73.04,2005-08-04
2005-08-05,71.96,2005-08-05
2005-08-06,75.02,2005-08-06
2005-08-07,73.04,2005-08-07
2005-08-08,73.04,2005-08-08
2005-08-09,73.94,2005-08-09
2005-08-10,75.02,2005-08-10
2005-08-11,75.02,2005-08-11
2005-08-12,73.94,2005-08-12
2005-08-13,75.92,2005-08-13
2005-08-14,73.94,2005-08-14
2005-08-15,75.02,2005-08-15
2005-08-16,73.94,2005-08-16
2005-08-17,75.92,2005-08-17
2005-08-18,73.04,2005-08-18
2005-08-19,73.94,2005-08-19
2005-08-20,73.04,2005-08-20
2005-08-21,73.94,2005-08-21
2005-08-22,73.04,2005-08-22
2005-08-23,78.98,2005-08-23
2005-08-24,75.02,2005-08-24
2005-08-25,73.94,2005-08-25
2005-08-26,80.06,2005-08-26
2005-08-27,82.04,2005-08-27
2005-08-28,82.94,2005-08-28
2005-08-29,82.04,2005-08-29
2005-08-30,80.06,2005-08-30
2005-08-31,78.98,2005-08-31
