,Tmax,DateTime
2016-06-01,69.08,2016-06-01
2016-06-02,69.08,2016-06-02
2016-06-03,68.0,2016-06-03
2016-06-04,73.04,2016-06-04
2016-06-05,66.92,2016-06-05
2016-06-06,62.96,2016-06-06
2016-06-07,68.0,2016-06-07
2016-06-08,69.08,2016-06-08
2016-06-09,71.06,2016-06-09
2016-06-10,68.0,2016-06-10
2016-06-11,71.06,2016-06-11
2016-06-12,71.06,2016-06-12
2016-06-13,69.08,2016-06-13
2016-06-14,69.08,2016-06-14
2016-06-15,68.0,2016-06-15
2016-06-16,69.08,2016-06-16
2016-06-17,71.06,2016-06-17
2016-06-18,75.92,2016-06-18
2016-06-19,77.0,2016-06-19
2016-06-20,84.92,2016-06-20
2016-06-21,95.0,2016-06-21
2016-06-22,,2016-06-22
2016-06-23,75.02,2016-06-23
2016-06-24,75.02,2016-06-24
2016-06-25,73.04,2016-06-25
2016-06-26,73.94,2016-06-26
2016-06-27,73.04,2016-06-27
2016-06-28,78.08,2016-06-28
2016-06-29,75.92,2016-06-29
2016-06-30,75.02,2016-06-30
2016-07-01,75.92,2016-07-01
2016-07-02,75.02,2016-07-02
2016-07-03,73.94,2016-07-03
2016-07-04,73.04,2016-07-04
2016-07-05,71.96,2016-07-05
2016-07-06,73.94,2016-07-06
2016-07-07,73.94,2016-07-07
2016-07-08,75.02,2016-07-08
2016-07-09,75.02,2016-07-09
2016-07-10,75.92,2016-07-10
2016-07-11,75.92,2016-07-11
2016-07-12,77.0,2016-07-12
2016-07-13,73.94,2016-07-13
2016-07-14,75.92,2016-07-14
2016-07-15,75.02,2016-07-15
2016-07-16,75.02,2016-07-16
2016-07-17,75.02,2016-07-17
2016-07-18,75.02,2016-07-18
2016-07-19,75.92,2016-07-19
2016-07-20,75.92,2016-07-20
2016-07-21,80.06,2016-07-21
2016-07-22,82.94,2016-07-22
2016-07-23,84.02,2016-07-23
2016-07-24,84.02,2016-07-24
2016-07-25,86.0,2016-07-25
2016-07-26,82.04,2016-07-26
2016-07-27,78.98,2016-07-27
2016-07-28,80.06,2016-07-28
2016-07-29,78.98,2016-07-29
2016-07-30,78.98,2016-07-30
2016-07-31,78.98,2016-07-31
2016-08-01,82.04,2016-08-01
2016-08-02,78.08,2016-08-02
2016-08-03,78.08,2016-08-03
2016-08-04,78.98,2016-08-04
2016-08-05,78.08,2016-08-05
2016-08-06,77.0,2016-08-06
2016-08-07,75.02,2016-08-07
2016-08-08,75.92,2016-08-08
2016-08-09,77.0,2016-08-09
2016-08-10,77.0,2016-08-10
2016-08-11,77.0,2016-08-11
2016-08-12,78.08,2016-08-12
2016-08-13,75.92,2016-08-13
2016-08-14,75.92,2016-08-14
2016-08-15,77.0,2016-08-15
2016-08-16,78.08,2016-08-16
2016-08-17,75.92,2016-08-17
2016-08-18,73.94,2016-08-18
2016-08-19,73.94,2016-08-19
2016-08-20,73.04,2016-08-20
2016-08-21,71.96,2016-08-21
2016-08-22,73.94,2016-08-22
2016-08-23,75.02,2016-08-23
2016-08-24,75.92,2016-08-24
2016-08-25,75.02,2016-08-25
2016-08-26,75.02,2016-08-26
2016-08-27,75.92,2016-08-27
2016-08-28,73.94,2016-08-28
2016-08-29,75.02,2016-08-29
2016-08-30,77.0,2016-08-30
2016-08-31,80.06,2016-08-31
