,Tmax,DateTime
2011-06-01,66.02,2011-06-01
2011-06-02,64.94,2011-06-02
2011-06-03,68.0,2011-06-03
2011-06-04,71.96,2011-06-04
2011-06-05,66.02,2011-06-05
2011-06-06,69.98,2011-06-06
2011-06-07,68.0,2011-06-07
2011-06-08,71.06,2011-06-08
2011-06-09,66.92,2011-06-09
2011-06-10,64.94,2011-06-10
2011-06-11,66.02,2011-06-11
2011-06-12,64.94,2011-06-12
2011-06-13,68.0,2011-06-13
2011-06-14,68.0,2011-06-14
2011-06-15,66.92,2011-06-15
2011-06-16,69.98,2011-06-16
2011-06-17,,2011-06-17
2011-06-18,68.0,2011-06-18
2011-06-19,69.08,2011-06-19
2011-06-20,66.92,2011-06-20
2011-06-21,69.08,2011-06-21
2011-06-22,69.98,2011-06-22
2011-06-23,69.08,2011-06-23
2011-06-24,71.06,2011-06-24
2011-06-25,69.98,2011-06-25
2011-06-26,69.98,2011-06-26
2011-06-27,71.06,2011-06-27
2011-06-28,73.04,2011-06-28
2011-06-29,71.96,2011-06-29
2011-06-30,69.98,2011-06-30
2011-07-01,73.94,2011-07-01
2011-07-02,77.0,2011-07-02
2011-07-03,73.04,2011-07-03
2011-07-04,71.06,2011-07-04
2011-07-05,75.02,2011-07-05
2011-07-06,77.0,2011-07-06
2011-07-07,78.08,2011-07-07
2011-07-08,75.92,2011-07-08
2011-07-09,73.94,2011-07-09
2011-07-10,71.96,2011-07-10
2011-07-11,73.94,2011-07-11
2011-07-12,75.02,2011-07-12
2011-07-13,73.04,2011-07-13
2011-07-14,71.96,2011-07-14
2011-07-15,71.96,2011-07-15
2011-07-16,73.04,2011-07-16
2011-07-17,71.96,2011-07-17
2011-07-18,71.96,2011-07-18
2011-07-19,75.02,2011-07-19
2011-07-20,75.92,2011-07-20
2011-07-21,69.98,2011-07-21
2011-07-22,69.98,2011-07-22
2011-07-23,69.98,2011-07-23
2011-07-24,71.96,2011-07-24
2011-07-25,68.0,2011-07-25
2011-07-26,75.02,2011-07-26
2011-07-27,75.92,2011-07-27
2011-07-28,75.92,2011-07-28
2011-07-29,73.94,2011-07-29
2011-07-30,71.06,2011-07-30
2011-07-31,69.98,2011-07-31
2011-08-01,73.04,2011-08-01
2011-08-02,73.94,2011-08-02
2011-08-03,73.94,2011-08-03
2011-08-04,73.04,2011-08-04
2011-08-05,71.96,2011-08-05
2011-08-06,71.06,2011-08-06
2011-08-07,69.98,2011-08-07
2011-08-08,69.98,2011-08-08
2011-08-09,71.96,2011-08-09
2011-08-10,73.04,2011-08-10
2011-08-11,73.04,2011-08-11
2011-08-12,71.96,2011-08-12
2011-08-13,71.96,2011-08-13
2011-08-14,71.06,2011-08-14
2011-08-15,69.98,2011-08-15
2011-08-16,,2011-08-16
2011-08-17,,2011-08-17
2011-08-18,69.98,2011-08-18
2011-08-19,71.96,2011-08-19
2011-08-20,,2011-08-20
2011-08-21,75.02,2011-08-21
2011-08-22,73.04,2011-08-22
2011-08-23,71.06,2011-08-23
2011-08-24,69.98,2011-08-24
2011-08-25,73.04,2011-08-25
2011-08-26,78.08,2011-08-26
2011-08-27,82.04,2011-08-27
2011-08-28,78.98,2011-08-28
2011-08-29,75.92,2011-08-29
2011-08-30,73.94,2011-08-30
2011-08-31,71.06,2011-08-31
