,Tmax,DateTime
2009-06-01,66.92,2009-06-01
2009-06-02,66.92,2009-06-02
2009-06-03,69.08,2009-06-03
2009-06-04,66.02,2009-06-04
2009-06-05,69.08,2009-06-05
2009-06-06,69.08,2009-06-06
2009-06-07,68.0,2009-06-07
2009-06-08,69.08,2009-06-08
2009-06-09,69.08,2009-06-09
2009-06-10,66.92,2009-06-10
2009-06-11,69.08,2009-06-11
2009-06-12,69.08,2009-06-12
2009-06-13,68.0,2009-06-13
2009-06-14,69.08,2009-06-14
2009-06-15,69.98,2009-06-15
2009-06-16,71.06,2009-06-16
2009-06-17,71.06,2009-06-17
2009-06-18,69.98,2009-06-18
2009-06-19,71.06,2009-06-19
2009-06-20,71.06,2009-06-20
2009-06-21,71.06,2009-06-21
2009-06-22,71.06,2009-06-22
2009-06-23,71.06,2009-06-23
2009-06-24,71.06,2009-06-24
2009-06-25,71.06,2009-06-25
2009-06-26,66.92,2009-06-26
2009-06-27,68.0,2009-06-27
2009-06-28,71.06,2009-06-28
2009-06-29,69.98,2009-06-29
2009-06-30,69.08,2009-06-30
2009-07-01,66.92,2009-07-01
2009-07-02,68.0,2009-07-02
2009-07-03,68.0,2009-07-03
2009-07-04,68.0,2009-07-04
2009-07-05,69.08,2009-07-05
2009-07-06,69.98,2009-07-06
2009-07-07,71.06,2009-07-07
2009-07-08,73.04,2009-07-08
2009-07-09,71.96,2009-07-09
2009-07-10,71.06,2009-07-10
2009-07-11,75.02,2009-07-11
2009-07-12,77.0,2009-07-12
2009-07-13,78.08,2009-07-13
2009-07-14,78.98,2009-07-14
2009-07-15,73.94,2009-07-15
2009-07-16,73.04,2009-07-16
2009-07-17,73.04,2009-07-17
2009-07-18,71.96,2009-07-18
2009-07-19,75.02,2009-07-19
2009-07-20,77.0,2009-07-20
2009-07-21,77.0,2009-07-21
2009-07-22,75.02,2009-07-22
2009-07-23,77.0,2009-07-23
2009-07-24,75.92,2009-07-24
2009-07-25,75.92,2009-07-25
2009-07-26,73.94,2009-07-26
2009-07-27,75.02,2009-07-27
2009-07-28,73.04,2009-07-28
2009-07-29,,2009-07-29
2009-07-30,75.02,2009-07-30
2009-07-31,75.92,2009-07-31
2009-08-01,75.92,2009-08-01
2009-08-02,75.02,2009-08-02
2009-08-03,73.04,2009-08-03
2009-08-04,75.92,2009-08-04
2009-08-05,80.06,2009-08-05
2009-08-06,78.98,2009-08-06
2009-08-07,75.02,2009-08-07
2009-08-08,73.94,2009-08-08
2009-08-09,73.04,2009-08-09
2009-08-10,69.98,2009-08-10
2009-08-11,69.98,2009-08-11
2009-08-12,,2009-08-12
2009-08-13,69.08,2009-08-13
2009-08-14,69.98,2009-08-14
2009-08-15,71.96,2009-08-15
2009-08-16,71.96,2009-08-16
2009-08-17,71.96,2009-08-17
2009-08-18,69.08,2009-08-18
2009-08-19,68.0,2009-08-19
2009-08-20,69.98,2009-08-20
2009-08-21,68.0,2009-08-21
2009-08-22,71.06,2009-08-22
2009-08-23,80.96,2009-08-23
2009-08-24,73.94,2009-08-24
2009-08-25,71.06,2009-08-25
2009-08-26,75.02,2009-08-26
2009-08-27,80.06,2009-08-27
2009-08-28,87.08,2009-08-28
2009-08-29,89.06,2009-08-29
2009-08-30,86.0,2009-08-30
2009-08-31,84.92,2009-08-31
