,DateTime,Tmax
106,2017-06-01,66.02
419,2017-06-02,69.98
734,2017-06-03,69.08
1051,2017-06-04,71.06
1370,2017-06-05,66.92
1688,2017-06-06,71.06
2004,2017-06-07,68.0
2321,2017-06-08,69.08
2635,2017-06-09,68.0
2949,2017-06-10,71.06
3261,2017-06-11,69.08
3580,2017-06-12,69.08
3892,2017-06-13,71.06
4204,2017-06-14,71.96
4516,2017-06-15,75.92
4829,2017-06-16,78.08
5145,2017-06-17,77.0
5458,2017-06-18,75.02
5744,2017-06-19,73.94
5905,2017-06-20,73.94
6127,2017-06-21,71.96
6444,2017-06-22,73.04
6757,2017-06-23,75.02
7070,2017-06-24,69.98
7392,2017-06-25,71.06
7704,2017-06-26,77.0
8017,2017-06-27,82.04
8222,2017-06-28,78.08
8378,2017-06-29,71.96
8693,2017-06-30,73.94
104,2017-07-01,73.04
418,2017-07-02,71.96
730,2017-07-03,75.92
1045,2017-07-04,73.94
1361,2017-07-05,75.02
1645,2017-07-06,75.92
1958,2017-07-07,75.92
2271,2017-07-08,82.94
2583,2017-07-09,86.0
2895,2017-07-10,87.98
3209,2017-07-11,84.02
3525,2017-07-12,77.0
3835,2017-07-13,75.02
4147,2017-07-14,75.02
4459,2017-07-15,73.04
4771,2017-07-16,80.06
5084,2017-07-17,80.96
5397,2017-07-18,77.0
5709,2017-07-19,78.08
6023,2017-07-20,78.08
6337,2017-07-21,80.06
6652,2017-07-22,77.0
6964,2017-07-23,77.0
7278,2017-07-24,77.0
7592,2017-07-25,77.0
7900,2017-07-26,77.0
8218,2017-07-27,75.92
8530,2017-07-28,77.0
8846,2017-07-29,75.02
9159,2017-07-30,77.0
9474,2017-07-31,75.92
104,2017-08-01,73.94
415,2017-08-02,82.04
728,2017-08-03,86.0
1040,2017-08-04,84.02
1352,2017-08-05,78.98
1665,2017-08-06,78.08
1978,2017-08-07,78.08
2291,2017-08-08,75.92
2602,2017-08-09,78.08
2913,2017-08-10,75.02
3225,2017-08-11,75.92
3529,2017-08-12,73.04
3843,2017-08-13,75.92
4158,2017-08-14,75.92
4472,2017-08-15,75.02
4788,2017-08-16,73.94
5103,2017-08-17,75.02
5417,2017-08-18,75.02
5734,2017-08-19,75.02
6047,2017-08-20,73.94
6362,2017-08-21,75.92
6675,2017-08-22,75.92
6987,2017-08-23,75.02
7304,2017-08-24,73.94
7617,2017-08-25,73.04
7933,2017-08-26,73.94
8250,2017-08-27,75.02
8567,2017-08-28,73.04
8883,2017-08-29,75.92
9195,2017-08-30,82.94
9506,2017-08-31,82.94
