,Tmax,DateTime
2020-06-01,69.98,2020-06-01
2020-06-02,75.02,2020-06-02
2020-06-03,75.92,2020-06-03
2020-06-04,78.08,2020-06-04
2020-06-05,73.94,2020-06-05
2020-06-06,69.98,2020-06-06
2020-06-07,69.08,2020-06-07
2020-06-08,71.96,2020-06-08
2020-06-09,84.02,2020-06-09
2020-06-10,93.02,2020-06-10
2020-06-11,89.06,2020-06-11
2020-06-12,78.08,2020-06-12
2020-06-13,69.98,2020-06-13
2020-06-14,73.04,2020-06-14
2020-06-15,73.04,2020-06-15
2020-06-16,73.94,2020-06-16
2020-06-17,71.06,2020-06-17
2020-06-18,73.94,2020-06-18
2020-06-19,69.98,2020-06-19
2020-06-20,71.06,2020-06-20
2020-06-21,69.98,2020-06-21
2020-06-22,71.96,2020-06-22
2020-06-23,73.04,2020-06-23
2020-06-24,71.06,2020-06-24
2020-06-25,69.98,2020-06-25
2020-06-26,71.96,2020-06-26
2020-06-27,69.98,2020-06-27
2020-06-28,71.06,2020-06-28
2020-06-29,69.08,2020-06-29
2020-06-30,71.06,2020-06-30
2020-07-01,71.06,2020-07-01
2020-07-02,71.06,2020-07-02
2020-07-03,73.94,2020-07-03
2020-07-04,71.96,2020-07-04
2020-07-05,75.92,2020-07-05
2020-07-06,80.06,2020-07-06
2020-07-07,78.08,2020-07-07
2020-07-08,75.92,2020-07-08
2020-07-09,75.92,2020-07-09
2020-07-10,75.02,2020-07-10
2020-07-11,75.92,2020-07-11
2020-07-12,78.98,2020-07-12
2020-07-13,80.96,2020-07-13
2020-07-14,78.08,2020-07-14
2020-07-15,75.02,2020-07-15
2020-07-16,71.96,2020-07-16
2020-07-17,71.96,2020-07-17
2020-07-18,73.94,2020-07-18
2020-07-19,71.96,2020-07-19
2020-07-20,71.06,2020-07-20
2020-07-21,71.06,2020-07-21
2020-07-22,73.04,2020-07-22
2020-07-23,69.98,2020-07-23
2020-07-24,73.04,2020-07-24
2020-07-25,73.04,2020-07-25
2020-07-26,71.96,2020-07-26
2020-07-27,69.08,2020-07-27
2020-07-28,68.0,2020-07-28
2020-07-29,69.98,2020-07-29
2020-07-30,69.08,2020-07-30
2020-07-31,71.06,2020-07-31
2020-08-01,75.92,2020-08-01
2020-08-02,80.96,2020-08-02
2020-08-03,75.02,2020-08-03
2020-08-04,73.04,2020-08-04
2020-08-05,73.94,2020-08-05
2020-08-06,73.04,2020-08-06
2020-08-07,73.94,2020-08-07
2020-08-08,73.04,2020-08-08
2020-08-09,71.96,2020-08-09
2020-08-10,71.06,2020-08-10
2020-08-11,71.06,2020-08-11
2020-08-12,69.08,2020-08-12
2020-08-13,73.04,2020-08-13
2020-08-14,82.94,2020-08-14
2020-08-15,,2020-08-15
2020-08-16,87.08,2020-08-16
2020-08-17,93.02,2020-08-17
2020-08-18,78.08,2020-08-18
2020-08-19,84.92,2020-08-19
2020-08-20,84.92,2020-08-20
2020-08-21,84.92,2020-08-21
2020-08-22,80.96,2020-08-22
2020-08-23,89.96,2020-08-23
2020-08-24,82.94,2020-08-24
2020-08-25,73.94,2020-08-25
2020-08-26,75.92,2020-08-26
2020-08-27,75.92,2020-08-27
2020-08-28,78.98,2020-08-28
2020-08-29,75.02,2020-08-29
2020-08-30,71.96,2020-08-30
2020-08-31,73.04,2020-08-31
