,Tmax,DateTime
2014-06-01,73.94,2014-06-01
2014-06-02,71.96,2014-06-02
2014-06-03,69.08,2014-06-03
2014-06-04,73.04,2014-06-04
2014-06-05,,2014-06-05
2014-06-06,71.06,2014-06-06
2014-06-07,69.98,2014-06-07
2014-06-08,69.98,2014-06-08
2014-06-09,71.96,2014-06-09
2014-06-10,69.08,2014-06-10
2014-06-11,71.06,2014-06-11
2014-06-12,71.96,2014-06-12
2014-06-13,71.06,2014-06-13
2014-06-14,69.98,2014-06-14
2014-06-15,71.06,2014-06-15
2014-06-16,71.96,2014-06-16
2014-06-17,71.06,2014-06-17
2014-06-18,73.04,2014-06-18
2014-06-19,71.96,2014-06-19
2014-06-20,71.96,2014-06-20
2014-06-21,73.94,2014-06-21
2014-06-22,75.02,2014-06-22
2014-06-23,73.04,2014-06-23
2014-06-24,73.94,2014-06-24
2014-06-25,73.94,2014-06-25
2014-06-26,73.04,2014-06-26
2014-06-27,73.94,2014-06-27
2014-06-28,75.92,2014-06-28
2014-06-29,75.92,2014-06-29
2014-06-30,75.92,2014-06-30
2014-07-01,75.02,2014-07-01
2014-07-02,75.02,2014-07-02
2014-07-03,75.02,2014-07-03
2014-07-04,75.92,2014-07-04
2014-07-05,78.08,2014-07-05
2014-07-06,80.06,2014-07-06
2014-07-07,80.06,2014-07-07
2014-07-08,77.0,2014-07-08
2014-07-09,75.92,2014-07-09
2014-07-10,75.92,2014-07-10
2014-07-11,75.92,2014-07-11
2014-07-12,73.94,2014-07-12
2014-07-13,75.02,2014-07-13
2014-07-14,77.0,2014-07-14
2014-07-15,75.02,2014-07-15
2014-07-16,75.02,2014-07-16
2014-07-17,75.92,2014-07-17
2014-07-18,75.92,2014-07-18
2014-07-19,75.02,2014-07-19
2014-07-20,71.96,2014-07-20
2014-07-21,75.92,2014-07-21
2014-07-22,75.92,2014-07-22
2014-07-23,77.0,2014-07-23
2014-07-24,80.06,2014-07-24
2014-07-25,80.96,2014-07-25
2014-07-26,84.02,2014-07-26
2014-07-27,75.92,2014-07-27
2014-07-28,75.92,2014-07-28
2014-07-29,80.06,2014-07-29
2014-07-30,78.08,2014-07-30
2014-07-31,82.04,2014-07-31
2014-08-01,77.0,2014-08-01
2014-08-02,77.0,2014-08-02
2014-08-03,78.08,2014-08-03
2014-08-04,78.08,2014-08-04
2014-08-05,78.98,2014-08-05
2014-08-06,73.94,2014-08-06
2014-08-07,71.96,2014-08-07
2014-08-08,75.02,2014-08-08
2014-08-09,75.02,2014-08-09
2014-08-10,75.02,2014-08-10
2014-08-11,75.92,2014-08-11
2014-08-12,75.02,2014-08-12
2014-08-13,75.92,2014-08-13
2014-08-14,73.94,2014-08-14
2014-08-15,75.92,2014-08-15
2014-08-16,75.92,2014-08-16
2014-08-17,77.0,2014-08-17
2014-08-18,,2014-08-18
2014-08-19,77.0,2014-08-19
2014-08-20,78.08,2014-08-20
2014-08-21,77.0,2014-08-21
2014-08-22,75.02,2014-08-22
2014-08-23,75.92,2014-08-23
2014-08-24,75.92,2014-08-24
2014-08-25,75.92,2014-08-25
2014-08-26,73.04,2014-08-26
2014-08-27,77.0,2014-08-27
2014-08-28,82.94,2014-08-28
2014-08-29,84.02,2014-08-29
2014-08-30,78.08,2014-08-30
2014-08-31,77.0,2014-08-31
