,Tmax,DateTime
2008-06-01,68.0,2008-06-01
2008-06-02,68.0,2008-06-02
2008-06-03,69.08,2008-06-03
2008-06-04,,2008-06-04
2008-06-05,66.02,2008-06-05
2008-06-06,69.98,2008-06-06
2008-06-07,71.96,2008-06-07
2008-06-08,71.06,2008-06-08
2008-06-09,69.98,2008-06-09
2008-06-10,69.98,2008-06-10
2008-06-11,71.06,2008-06-11
2008-06-12,71.06,2008-06-12
2008-06-13,73.94,2008-06-13
2008-06-14,68.0,2008-06-14
2008-06-15,68.0,2008-06-15
2008-06-16,71.06,2008-06-16
2008-06-17,73.04,2008-06-17
2008-06-18,73.04,2008-06-18
2008-06-19,78.98,2008-06-19
2008-06-20,82.94,2008-06-20
2008-06-21,86.0,2008-06-21
2008-06-22,91.94,2008-06-22
2008-06-23,87.98,2008-06-23
2008-06-24,80.06,2008-06-24
2008-06-25,75.92,2008-06-25
2008-06-26,73.94,2008-06-26
2008-06-27,73.04,2008-06-27
2008-06-28,73.94,2008-06-28
2008-06-29,,2008-06-29
2008-06-30,73.04,2008-06-30
2008-07-01,73.94,2008-07-01
2008-07-02,73.94,2008-07-02
2008-07-03,73.94,2008-07-03
2008-07-04,75.02,2008-07-04
2008-07-05,82.04,2008-07-05
2008-07-06,78.08,2008-07-06
2008-07-07,73.04,2008-07-07
2008-07-08,73.94,2008-07-08
2008-07-09,71.96,2008-07-09
2008-07-10,71.96,2008-07-10
2008-07-11,75.02,2008-07-11
2008-07-12,75.92,2008-07-12
2008-07-13,77.0,2008-07-13
2008-07-14,75.02,2008-07-14
2008-07-15,77.0,2008-07-15
2008-07-16,78.98,2008-07-16
2008-07-17,75.92,2008-07-17
2008-07-18,75.02,2008-07-18
2008-07-19,73.04,2008-07-19
2008-07-20,73.04,2008-07-20
2008-07-21,73.94,2008-07-21
2008-07-22,73.04,2008-07-22
2008-07-23,73.94,2008-07-23
2008-07-24,73.04,2008-07-24
2008-07-25,69.98,2008-07-25
2008-07-26,71.96,2008-07-26
2008-07-27,77.0,2008-07-27
2008-07-28,75.02,2008-07-28
2008-07-29,73.04,2008-07-29
2008-07-30,71.06,2008-07-30
2008-07-31,73.94,2008-07-31
2008-08-01,73.94,2008-08-01
2008-08-02,73.94,2008-08-02
2008-08-03,73.94,2008-08-03
2008-08-04,75.92,2008-08-04
2008-08-05,75.02,2008-08-05
2008-08-06,75.92,2008-08-06
2008-08-07,77.0,2008-08-07
2008-08-08,77.0,2008-08-08
2008-08-09,75.92,2008-08-09
2008-08-10,75.02,2008-08-10
2008-08-11,75.02,2008-08-11
2008-08-12,71.96,2008-08-12
2008-08-13,73.04,2008-08-13
2008-08-14,75.02,2008-08-14
2008-08-15,,2008-08-15
2008-08-16,75.02,2008-08-16
2008-08-17,75.02,2008-08-17
2008-08-18,73.94,2008-08-18
2008-08-19,73.04,2008-08-19
2008-08-20,71.96,2008-08-20
2008-08-21,73.04,2008-08-21
2008-08-22,73.94,2008-08-22
2008-08-23,73.94,2008-08-23
2008-08-24,73.94,2008-08-24
2008-08-25,71.96,2008-08-25
2008-08-26,75.02,2008-08-26
2008-08-27,75.92,2008-08-27
2008-08-28,75.02,2008-08-28
2008-08-29,71.06,2008-08-29
2008-08-30,75.92,2008-08-30
2008-08-31,78.08,2008-08-31
