,Tmax,DateTime
2018-06-01,69.98,2018-06-01
2018-06-02,69.98,2018-06-02
2018-06-03,71.96,2018-06-03
2018-06-04,71.06,2018-06-04
2018-06-05,71.96,2018-06-05
2018-06-06,69.98,2018-06-06
2018-06-07,69.08,2018-06-07
2018-06-08,71.06,2018-06-08
2018-06-09,73.94,2018-06-09
2018-06-10,75.02,2018-06-10
2018-06-11,73.04,2018-06-11
2018-06-12,,2018-06-12
2018-06-13,75.02,2018-06-13
2018-06-14,71.96,2018-06-14
2018-06-15,75.92,2018-06-15
2018-06-16,73.04,2018-06-16
2018-06-17,73.04,2018-06-17
2018-06-18,69.08,2018-06-18
2018-06-19,69.98,2018-06-19
2018-06-20,69.98,2018-06-20
2018-06-21,71.96,2018-06-21
2018-06-22,73.94,2018-06-22
2018-06-23,73.04,2018-06-23
2018-06-24,71.06,2018-06-24
2018-06-25,73.94,2018-06-25
2018-06-26,73.04,2018-06-26
2018-06-27,71.96,2018-06-27
2018-06-28,71.96,2018-06-28
2018-06-29,71.96,2018-06-29
2018-06-30,73.94,2018-06-30
2018-07-01,75.92,2018-07-01
2018-07-02,73.04,2018-07-02
2018-07-03,71.96,2018-07-03
2018-07-04,73.04,2018-07-04
2018-07-05,75.02,2018-07-05
2018-07-06,80.06,2018-07-06
2018-07-07,91.94,2018-07-07
2018-07-08,93.02,2018-07-08
2018-07-09,89.06,2018-07-09
2018-07-10,91.04,2018-07-10
2018-07-11,84.92,2018-07-11
2018-07-12,80.06,2018-07-12
2018-07-13,78.98,2018-07-13
2018-07-14,75.92,2018-07-14
2018-07-15,78.08,2018-07-15
2018-07-16,78.08,2018-07-16
2018-07-17,78.98,2018-07-17
2018-07-18,75.92,2018-07-18
2018-07-19,78.08,2018-07-19
2018-07-20,78.98,2018-07-20
2018-07-21,75.92,2018-07-21
2018-07-22,77.0,2018-07-22
2018-07-23,80.06,2018-07-23
2018-07-24,84.92,2018-07-24
2018-07-25,84.92,2018-07-25
2018-07-26,78.08,2018-07-26
2018-07-27,80.96,2018-07-27
2018-07-28,75.92,2018-07-28
2018-07-29,78.98,2018-07-29
2018-07-30,82.94,2018-07-30
2018-07-31,78.08,2018-07-31
2018-08-01,80.96,2018-08-01
2018-08-02,82.04,2018-08-02
2018-08-03,80.06,2018-08-03
2018-08-04,78.98,2018-08-04
2018-08-05,80.96,2018-08-05
2018-08-06,78.98,2018-08-06
2018-08-07,82.94,2018-08-07
2018-08-08,89.06,2018-08-08
2018-08-09,93.92,2018-08-09
2018-08-10,86.0,2018-08-10
2018-08-11,87.08,2018-08-11
2018-08-12,84.02,2018-08-12
2018-08-13,80.96,2018-08-13
2018-08-14,78.98,2018-08-14
2018-08-15,78.08,2018-08-15
2018-08-16,78.98,2018-08-16
2018-08-17,80.96,2018-08-17
2018-08-18,80.96,2018-08-18
2018-08-19,78.98,2018-08-19
2018-08-20,78.98,2018-08-20
2018-08-21,82.04,2018-08-21
2018-08-22,80.06,2018-08-22
2018-08-23,78.08,2018-08-23
2018-08-24,78.08,2018-08-24
2018-08-25,78.08,2018-08-25
2018-08-26,77.0,2018-08-26
2018-08-27,78.08,2018-08-27
2018-08-28,77.0,2018-08-28
2018-08-29,75.92,2018-08-29
2018-08-30,78.08,2018-08-30
2018-08-31,78.08,2018-08-31
