,Tmax,DateTime
2006-06-01,75.02,2006-06-01
2006-06-02,73.94,2006-06-02
2006-06-03,71.06,2006-06-03
2006-06-04,84.02,2006-06-04
2006-06-05,78.08,2006-06-05
2006-06-06,75.02,2006-06-06
2006-06-07,71.96,2006-06-07
2006-06-08,69.98,2006-06-08
2006-06-09,71.06,2006-06-09
2006-06-10,73.04,2006-06-10
2006-06-11,71.06,2006-06-11
2006-06-12,69.98,2006-06-12
2006-06-13,71.06,2006-06-13
2006-06-14,73.04,2006-06-14
2006-06-15,75.02,2006-06-15
2006-06-16,77.0,2006-06-16
2006-06-17,80.06,2006-06-17
2006-06-18,82.04,2006-06-18
2006-06-19,75.92,2006-06-19
2006-06-20,75.02,2006-06-20
2006-06-21,73.04,2006-06-21
2006-06-22,73.04,2006-06-22
2006-06-23,73.04,2006-06-23
2006-06-24,71.06,2006-06-24
2006-06-25,73.94,2006-06-25
2006-06-26,75.92,2006-06-26
2006-06-27,80.96,2006-06-27
2006-06-28,93.92,2006-06-28
2006-06-29,80.06,2006-06-29
2006-06-30,77.0,2006-06-30
2006-07-01,78.08,2006-07-01
2006-07-02,80.06,2006-07-02
2006-07-03,82.94,2006-07-03
2006-07-04,80.06,2006-07-04
2006-07-05,80.06,2006-07-05
2006-07-06,75.92,2006-07-06
2006-07-07,75.02,2006-07-07
2006-07-08,78.98,2006-07-08
2006-07-09,,2006-07-09
2006-07-10,75.92,2006-07-10
2006-07-11,73.94,2006-07-11
2006-07-12,75.02,2006-07-12
2006-07-13,80.96,2006-07-13
2006-07-14,78.98,2006-07-14
2006-07-15,78.98,2006-07-15
2006-07-16,84.02,2006-07-16
2006-07-17,87.98,2006-07-17
2006-07-18,84.92,2006-07-18
2006-07-19,80.06,2006-07-19
2006-07-20,78.98,2006-07-20
2006-07-21,77.0,2006-07-21
2006-07-22,78.08,2006-07-22
2006-07-23,86.0,2006-07-23
2006-07-24,87.98,2006-07-24
2006-07-25,87.08,2006-07-25
2006-07-26,82.94,2006-07-26
2006-07-27,84.92,2006-07-27
2006-07-28,82.94,2006-07-28
2006-07-29,84.02,2006-07-29
2006-07-30,78.08,2006-07-30
2006-07-31,78.08,2006-07-31
2006-08-01,77.0,2006-08-01
2006-08-02,80.06,2006-08-02
2006-08-03,78.98,2006-08-03
2006-08-04,,2006-08-04
2006-08-05,77.0,2006-08-05
2006-08-06,77.0,2006-08-06
2006-08-07,75.92,2006-08-07
2006-08-08,78.08,2006-08-08
2006-08-09,78.98,2006-08-09
2006-08-10,78.08,2006-08-10
2006-08-11,,2006-08-11
2006-08-12,78.08,2006-08-12
2006-08-13,78.08,2006-08-13
2006-08-14,75.92,2006-08-14
2006-08-15,75.02,2006-08-15
2006-08-16,75.02,2006-08-16
2006-08-17,73.94,2006-08-17
2006-08-18,75.02,2006-08-18
2006-08-19,75.02,2006-08-19
2006-08-20,73.04,2006-08-20
2006-08-21,73.04,2006-08-21
2006-08-22,73.94,2006-08-22
2006-08-23,78.08,2006-08-23
2006-08-24,84.02,2006-08-24
2006-08-25,78.08,2006-08-25
2006-08-26,75.92,2006-08-26
2006-08-27,75.02,2006-08-27
2006-08-28,77.0,2006-08-28
2006-08-29,75.02,2006-08-29
2006-08-30,77.0,2006-08-30
2006-08-31,77.0,2006-08-31
