,Tmax,DateTime
2010-06-01,73.04,2010-06-01
2010-06-02,66.92,2010-06-02
2010-06-03,68.0,2010-06-03
2010-06-04,68.0,2010-06-04
2010-06-05,66.92,2010-06-05
2010-06-06,69.98,2010-06-06
2010-06-07,69.98,2010-06-07
2010-06-08,69.08,2010-06-08
2010-06-09,69.08,2010-06-09
2010-06-10,68.0,2010-06-10
2010-06-11,,2010-06-11
2010-06-12,69.98,2010-06-12
2010-06-13,69.98,2010-06-13
2010-06-14,68.0,2010-06-14
2010-06-15,,2010-06-15
2010-06-16,,2010-06-16
2010-06-17,69.98,2010-06-17
2010-06-18,69.98,2010-06-18
2010-06-19,69.98,2010-06-19
2010-06-20,69.98,2010-06-20
2010-06-21,69.98,2010-06-21
2010-06-22,68.0,2010-06-22
2010-06-23,69.08,2010-06-23
2010-06-24,68.0,2010-06-24
2010-06-25,68.0,2010-06-25
2010-06-26,69.98,2010-06-26
2010-06-27,68.0,2010-06-27
2010-06-28,69.98,2010-06-28
2010-06-29,69.08,2010-06-29
2010-06-30,68.0,2010-06-30
2010-07-01,68.0,2010-07-01
2010-07-02,69.08,2010-07-02
2010-07-03,69.08,2010-07-03
2010-07-04,71.96,2010-07-04
2010-07-05,71.96,2010-07-05
2010-07-06,66.92,2010-07-06
2010-07-07,66.02,2010-07-07
2010-07-08,66.92,2010-07-08
2010-07-09,64.94,2010-07-09
2010-07-10,66.92,2010-07-10
2010-07-11,69.08,2010-07-11
2010-07-12,69.98,2010-07-12
2010-07-13,68.0,2010-07-13
2010-07-14,73.94,2010-07-14
2010-07-15,78.98,2010-07-15
2010-07-16,78.08,2010-07-16
2010-07-17,78.98,2010-07-17
2010-07-18,75.92,2010-07-18
2010-07-19,73.94,2010-07-19
2010-07-20,75.02,2010-07-20
2010-07-21,71.06,2010-07-21
2010-07-22,69.98,2010-07-22
2010-07-23,69.98,2010-07-23
2010-07-24,68.0,2010-07-24
2010-07-25,68.0,2010-07-25
2010-07-26,69.08,2010-07-26
2010-07-27,69.08,2010-07-27
2010-07-28,66.92,2010-07-28
2010-07-29,68.0,2010-07-29
2010-07-30,69.98,2010-07-30
2010-07-31,68.0,2010-07-31
2010-08-01,71.06,2010-08-01
2010-08-02,69.98,2010-08-02
2010-08-03,66.92,2010-08-03
2010-08-04,66.92,2010-08-04
2010-08-05,69.08,2010-08-05
2010-08-06,69.08,2010-08-06
2010-08-07,69.08,2010-08-07
2010-08-08,69.08,2010-08-08
2010-08-09,69.98,2010-08-09
2010-08-10,68.0,2010-08-10
2010-08-11,69.98,2010-08-11
2010-08-12,69.98,2010-08-12
2010-08-13,69.08,2010-08-13
2010-08-14,66.92,2010-08-14
2010-08-15,66.92,2010-08-15
2010-08-16,68.0,2010-08-16
2010-08-17,68.0,2010-08-17
2010-08-18,75.92,2010-08-18
2010-08-19,80.06,2010-08-19
2010-08-20,75.92,2010-08-20
2010-08-21,73.04,2010-08-21
2010-08-22,71.06,2010-08-22
2010-08-23,80.06,2010-08-23
2010-08-24,82.94,2010-08-24
2010-08-25,78.98,2010-08-25
2010-08-26,73.04,2010-08-26
2010-08-27,69.98,2010-08-27
2010-08-28,69.08,2010-08-28
2010-08-29,69.98,2010-08-29
2010-08-30,71.06,2010-08-30
2010-08-31,71.06,2010-08-31
