,Tmin,DateTime
2012-06-01,60.08,2012-06-01
2012-06-02,60.98,2012-06-02
2012-06-03,62.06,2012-06-03
2012-06-04,62.06,2012-06-04
2012-06-05,60.98,2012-06-05
2012-06-06,60.08,2012-06-06
2012-06-07,57.92,2012-06-07
2012-06-08,60.08,2012-06-08
2012-06-09,60.98,2012-06-09
2012-06-10,62.06,2012-06-10
2012-06-11,60.98,2012-06-11
2012-06-12,60.98,2012-06-12
2012-06-13,60.98,2012-06-13
2012-06-14,62.06,2012-06-14
2012-06-15,62.06,2012-06-15
2012-06-16,62.06,2012-06-16
2012-06-17,62.06,2012-06-17
2012-06-18,60.08,2012-06-18
2012-06-19,60.08,2012-06-19
2012-06-20,60.98,2012-06-20
2012-06-21,60.98,2012-06-21
2012-06-22,60.98,2012-06-22
2012-06-23,60.98,2012-06-23
2012-06-24,60.08,2012-06-24
2012-06-25,59.0,2012-06-25
2012-06-26,57.92,2012-06-26
2012-06-27,57.92,2012-06-27
2012-06-28,60.08,2012-06-28
2012-06-29,59.0,2012-06-29
2012-06-30,60.08,2012-06-30
2012-07-01,60.98,2012-07-01
2012-07-02,62.06,2012-07-02
2012-07-03,62.06,2012-07-03
2012-07-04,62.96,2012-07-04
2012-07-05,62.96,2012-07-05
2012-07-06,62.06,2012-07-06
2012-07-07,60.08,2012-07-07
2012-07-08,57.92,2012-07-08
2012-07-09,57.02,2012-07-09
2012-07-10,60.08,2012-07-10
2012-07-11,62.96,2012-07-11
2012-07-12,,2012-07-12
2012-07-13,62.96,2012-07-13
2012-07-14,64.04,2012-07-14
2012-07-15,62.06,2012-07-15
2012-07-16,62.96,2012-07-16
2012-07-17,62.06,2012-07-17
2012-07-18,62.96,2012-07-18
2012-07-19,62.06,2012-07-19
2012-07-20,64.94,2012-07-20
2012-07-21,64.04,2012-07-21
2012-07-22,62.96,2012-07-22
2012-07-23,62.96,2012-07-23
2012-07-24,60.08,2012-07-24
2012-07-25,60.08,2012-07-25
2012-07-26,60.98,2012-07-26
2012-07-27,60.08,2012-07-27
2012-07-28,,2012-07-28
2012-07-29,60.98,2012-07-29
2012-07-30,60.08,2012-07-30
2012-07-31,62.06,2012-07-31
2012-08-01,62.06,2012-08-01
2012-08-02,62.06,2012-08-02
2012-08-03,62.06,2012-08-03
2012-08-04,62.96,2012-08-04
2012-08-05,62.96,2012-08-05
2012-08-06,62.06,2012-08-06
2012-08-07,64.04,2012-08-07
2012-08-08,66.92,2012-08-08
2012-08-09,68.0,2012-08-09
2012-08-10,66.92,2012-08-10
2012-08-11,66.92,2012-08-11
2012-08-12,69.08,2012-08-12
2012-08-13,69.98,2012-08-13
2012-08-14,69.08,2012-08-14
2012-08-15,66.92,2012-08-15
2012-08-16,64.94,2012-08-16
2012-08-17,66.02,2012-08-17
2012-08-18,69.08,2012-08-18
2012-08-19,69.98,2012-08-19
2012-08-20,69.98,2012-08-20
2012-08-21,69.08,2012-08-21
2012-08-22,69.08,2012-08-22
2012-08-23,66.02,2012-08-23
2012-08-24,66.02,2012-08-24
2012-08-25,66.02,2012-08-25
2012-08-26,64.94,2012-08-26
2012-08-27,64.04,2012-08-27
2012-08-28,62.96,2012-08-28
2012-08-29,66.92,2012-08-29
2012-08-30,71.06,2012-08-30
2012-08-31,68.0,2012-08-31
