,Tmin,DateTime
2018-06-01,60.08,2018-06-01
2018-06-02,57.02,2018-06-02
2018-06-03,59.0,2018-06-03
2018-06-04,60.98,2018-06-04
2018-06-05,60.08,2018-06-05
2018-06-06,60.98,2018-06-06
2018-06-07,60.08,2018-06-07
2018-06-08,57.92,2018-06-08
2018-06-09,59.0,2018-06-09
2018-06-10,60.98,2018-06-10
2018-06-11,62.06,2018-06-11
2018-06-12,,2018-06-12
2018-06-13,62.06,2018-06-13
2018-06-14,60.08,2018-06-14
2018-06-15,60.98,2018-06-15
2018-06-16,62.06,2018-06-16
2018-06-17,62.96,2018-06-17
2018-06-18,62.06,2018-06-18
2018-06-19,60.98,2018-06-19
2018-06-20,60.08,2018-06-20
2018-06-21,60.98,2018-06-21
2018-06-22,64.04,2018-06-22
2018-06-23,62.06,2018-06-23
2018-06-24,62.96,2018-06-24
2018-06-25,62.96,2018-06-25
2018-06-26,64.04,2018-06-26
2018-06-27,62.96,2018-06-27
2018-06-28,64.04,2018-06-28
2018-06-29,64.04,2018-06-29
2018-06-30,64.94,2018-06-30
2018-07-01,66.02,2018-07-01
2018-07-02,64.94,2018-07-02
2018-07-03,64.04,2018-07-03
2018-07-04,64.94,2018-07-04
2018-07-05,64.94,2018-07-05
2018-07-06,64.04,2018-07-06
2018-07-07,68.0,2018-07-07
2018-07-08,73.94,2018-07-08
2018-07-09,73.94,2018-07-09
2018-07-10,73.04,2018-07-10
2018-07-11,71.96,2018-07-11
2018-07-12,71.06,2018-07-12
2018-07-13,69.98,2018-07-13
2018-07-14,69.08,2018-07-14
2018-07-15,68.0,2018-07-15
2018-07-16,69.08,2018-07-16
2018-07-17,69.08,2018-07-17
2018-07-18,69.08,2018-07-18
2018-07-19,69.08,2018-07-19
2018-07-20,69.08,2018-07-20
2018-07-21,68.0,2018-07-21
2018-07-22,69.08,2018-07-22
2018-07-23,68.0,2018-07-23
2018-07-24,69.98,2018-07-24
2018-07-25,69.08,2018-07-25
2018-07-26,69.98,2018-07-26
2018-07-27,69.98,2018-07-27
2018-07-28,68.0,2018-07-28
2018-07-29,69.08,2018-07-29
2018-07-30,68.0,2018-07-30
2018-07-31,69.08,2018-07-31
2018-08-01,69.08,2018-08-01
2018-08-02,69.98,2018-08-02
2018-08-03,69.98,2018-08-03
2018-08-04,69.98,2018-08-04
2018-08-05,66.92,2018-08-05
2018-08-06,68.0,2018-08-06
2018-08-07,68.0,2018-08-07
2018-08-08,69.98,2018-08-08
2018-08-09,69.98,2018-08-09
2018-08-10,69.08,2018-08-10
2018-08-11,73.04,2018-08-11
2018-08-12,71.96,2018-08-12
2018-08-13,69.08,2018-08-13
2018-08-14,69.08,2018-08-14
2018-08-15,69.08,2018-08-15
2018-08-16,69.98,2018-08-16
2018-08-17,71.96,2018-08-17
2018-08-18,71.96,2018-08-18
2018-08-19,71.06,2018-08-19
2018-08-20,69.98,2018-08-20
2018-08-21,71.06,2018-08-21
2018-08-22,71.06,2018-08-22
2018-08-23,69.08,2018-08-23
2018-08-24,69.08,2018-08-24
2018-08-25,68.0,2018-08-25
2018-08-26,64.94,2018-08-26
2018-08-27,66.92,2018-08-27
2018-08-28,66.92,2018-08-28
2018-08-29,66.02,2018-08-29
2018-08-30,66.92,2018-08-30
2018-08-31,64.04,2018-08-31
