,Tmin,DateTime
2010-06-01,60.08,2010-06-01
2010-06-02,59.0,2010-06-02
2010-06-03,59.0,2010-06-03
2010-06-04,57.02,2010-06-04
2010-06-05,60.08,2010-06-05
2010-06-06,60.98,2010-06-06
2010-06-07,62.06,2010-06-07
2010-06-08,60.08,2010-06-08
2010-06-09,60.08,2010-06-09
2010-06-10,60.08,2010-06-10
2010-06-11,,2010-06-11
2010-06-12,60.08,2010-06-12
2010-06-13,60.08,2010-06-13
2010-06-14,60.08,2010-06-14
2010-06-15,,2010-06-15
2010-06-16,,2010-06-16
2010-06-17,60.98,2010-06-17
2010-06-18,60.08,2010-06-18
2010-06-19,60.98,2010-06-19
2010-06-20,60.08,2010-06-20
2010-06-21,57.92,2010-06-21
2010-06-22,60.08,2010-06-22
2010-06-23,59.0,2010-06-23
2010-06-24,59.0,2010-06-24
2010-06-25,60.08,2010-06-25
2010-06-26,60.98,2010-06-26
2010-06-27,60.98,2010-06-27
2010-06-28,60.08,2010-06-28
2010-06-29,62.06,2010-06-29
2010-06-30,62.06,2010-06-30
2010-07-01,60.08,2010-07-01
2010-07-02,60.98,2010-07-02
2010-07-03,59.0,2010-07-03
2010-07-04,60.98,2010-07-04
2010-07-05,60.98,2010-07-05
2010-07-06,60.98,2010-07-06
2010-07-07,57.92,2010-07-07
2010-07-08,60.08,2010-07-08
2010-07-09,60.08,2010-07-09
2010-07-10,60.08,2010-07-10
2010-07-11,60.98,2010-07-11
2010-07-12,62.06,2010-07-12
2010-07-13,60.98,2010-07-13
2010-07-14,60.08,2010-07-14
2010-07-15,62.96,2010-07-15
2010-07-16,66.02,2010-07-16
2010-07-17,64.04,2010-07-17
2010-07-18,62.96,2010-07-18
2010-07-19,64.94,2010-07-19
2010-07-20,62.96,2010-07-20
2010-07-21,60.98,2010-07-21
2010-07-22,62.06,2010-07-22
2010-07-23,62.96,2010-07-23
2010-07-24,59.0,2010-07-24
2010-07-25,59.0,2010-07-25
2010-07-26,60.98,2010-07-26
2010-07-27,60.08,2010-07-27
2010-07-28,60.08,2010-07-28
2010-07-29,59.0,2010-07-29
2010-07-30,59.0,2010-07-30
2010-07-31,59.0,2010-07-31
2010-08-01,59.0,2010-08-01
2010-08-02,57.02,2010-08-02
2010-08-03,57.92,2010-08-03
2010-08-04,59.0,2010-08-04
2010-08-05,57.92,2010-08-05
2010-08-06,59.0,2010-08-06
2010-08-07,59.0,2010-08-07
2010-08-08,59.0,2010-08-08
2010-08-09,60.08,2010-08-09
2010-08-10,59.0,2010-08-10
2010-08-11,59.0,2010-08-11
2010-08-12,60.08,2010-08-12
2010-08-13,59.0,2010-08-13
2010-08-14,59.0,2010-08-14
2010-08-15,59.0,2010-08-15
2010-08-16,59.0,2010-08-16
2010-08-17,60.08,2010-08-17
2010-08-18,62.96,2010-08-18
2010-08-19,64.94,2010-08-19
2010-08-20,62.96,2010-08-20
2010-08-21,62.06,2010-08-21
2010-08-22,60.08,2010-08-22
2010-08-23,60.98,2010-08-23
2010-08-24,60.98,2010-08-24
2010-08-25,64.94,2010-08-25
2010-08-26,62.96,2010-08-26
2010-08-27,60.98,2010-08-27
2010-08-28,60.08,2010-08-28
2010-08-29,62.06,2010-08-29
2010-08-30,60.08,2010-08-30
2010-08-31,57.92,2010-08-31
