,Tmin,DateTime
2008-06-01,57.92,2008-06-01
2008-06-02,57.92,2008-06-02
2008-06-03,60.08,2008-06-03
2008-06-04,,2008-06-04
2008-06-05,60.98,2008-06-05
2008-06-06,57.02,2008-06-06
2008-06-07,60.98,2008-06-07
2008-06-08,60.08,2008-06-08
2008-06-09,62.06,2008-06-09
2008-06-10,60.08,2008-06-10
2008-06-11,60.08,2008-06-11
2008-06-12,62.96,2008-06-12
2008-06-13,62.96,2008-06-13
2008-06-14,60.98,2008-06-14
2008-06-15,60.08,2008-06-15
2008-06-16,59.0,2008-06-16
2008-06-17,62.06,2008-06-17
2008-06-18,64.04,2008-06-18
2008-06-19,62.96,2008-06-19
2008-06-20,64.94,2008-06-20
2008-06-21,66.02,2008-06-21
2008-06-22,71.06,2008-06-22
2008-06-23,69.08,2008-06-23
2008-06-24,66.92,2008-06-24
2008-06-25,66.02,2008-06-25
2008-06-26,66.02,2008-06-26
2008-06-27,66.02,2008-06-27
2008-06-28,66.02,2008-06-28
2008-06-29,,2008-06-29
2008-06-30,64.04,2008-06-30
2008-07-01,64.04,2008-07-01
2008-07-02,64.04,2008-07-02
2008-07-03,64.04,2008-07-03
2008-07-04,64.94,2008-07-04
2008-07-05,66.92,2008-07-05
2008-07-06,66.92,2008-07-06
2008-07-07,64.94,2008-07-07
2008-07-08,64.94,2008-07-08
2008-07-09,64.94,2008-07-09
2008-07-10,64.94,2008-07-10
2008-07-11,66.92,2008-07-11
2008-07-12,68.0,2008-07-12
2008-07-13,66.92,2008-07-13
2008-07-14,66.92,2008-07-14
2008-07-15,66.92,2008-07-15
2008-07-16,66.92,2008-07-16
2008-07-17,66.02,2008-07-17
2008-07-18,66.02,2008-07-18
2008-07-19,64.94,2008-07-19
2008-07-20,64.94,2008-07-20
2008-07-21,66.02,2008-07-21
2008-07-22,64.04,2008-07-22
2008-07-23,64.04,2008-07-23
2008-07-24,64.04,2008-07-24
2008-07-25,62.96,2008-07-25
2008-07-26,62.96,2008-07-26
2008-07-27,66.92,2008-07-27
2008-07-28,66.02,2008-07-28
2008-07-29,64.94,2008-07-29
2008-07-30,62.96,2008-07-30
2008-07-31,62.96,2008-07-31
2008-08-01,62.06,2008-08-01
2008-08-02,62.96,2008-08-02
2008-08-03,64.04,2008-08-03
2008-08-04,64.94,2008-08-04
2008-08-05,66.02,2008-08-05
2008-08-06,66.92,2008-08-06
2008-08-07,66.92,2008-08-07
2008-08-08,68.0,2008-08-08
2008-08-09,66.92,2008-08-09
2008-08-10,66.02,2008-08-10
2008-08-11,66.02,2008-08-11
2008-08-12,62.96,2008-08-12
2008-08-13,62.96,2008-08-13
2008-08-14,64.94,2008-08-14
2008-08-15,,2008-08-15
2008-08-16,66.92,2008-08-16
2008-08-17,66.02,2008-08-17
2008-08-18,66.02,2008-08-18
2008-08-19,64.04,2008-08-19
2008-08-20,64.04,2008-08-20
2008-08-21,64.04,2008-08-21
2008-08-22,64.94,2008-08-22
2008-08-23,66.02,2008-08-23
2008-08-24,64.04,2008-08-24
2008-08-25,62.96,2008-08-25
2008-08-26,66.02,2008-08-26
2008-08-27,66.02,2008-08-27
2008-08-28,62.96,2008-08-28
2008-08-29,64.04,2008-08-29
2008-08-30,64.04,2008-08-30
2008-08-31,68.0,2008-08-31
