,Tmin,DateTime
2015-06-01,55.94,2015-06-01
2015-06-02,57.02,2015-06-02
2015-06-03,59.0,2015-06-03
2015-06-04,,2015-06-04
2015-06-05,59.0,2015-06-05
2015-06-06,59.0,2015-06-06
2015-06-07,59.0,2015-06-07
2015-06-08,59.0,2015-06-08
2015-06-09,59.0,2015-06-09
2015-06-10,60.08,2015-06-10
2015-06-11,,2015-06-11
2015-06-12,60.08,2015-06-12
2015-06-13,60.98,2015-06-13
2015-06-14,62.06,2015-06-14
2015-06-15,60.98,2015-06-15
2015-06-16,60.98,2015-06-16
2015-06-17,,2015-06-17
2015-06-18,60.98,2015-06-18
2015-06-19,60.98,2015-06-19
2015-06-20,59.0,2015-06-20
2015-06-21,60.98,2015-06-21
2015-06-22,62.96,2015-06-22
2015-06-23,62.96,2015-06-23
2015-06-24,64.04,2015-06-24
2015-06-25,62.96,2015-06-25
2015-06-26,60.98,2015-06-26
2015-06-27,60.08,2015-06-27
2015-06-28,62.06,2015-06-28
2015-06-29,66.02,2015-06-29
2015-06-30,66.92,2015-06-30
2015-07-01,64.94,2015-07-01
2015-07-02,66.02,2015-07-02
2015-07-03,,2015-07-03
2015-07-04,62.06,2015-07-04
2015-07-05,62.06,2015-07-05
2015-07-06,62.96,2015-07-06
2015-07-07,62.96,2015-07-07
2015-07-08,64.04,2015-07-08
2015-07-09,64.94,2015-07-09
2015-07-10,62.96,2015-07-10
2015-07-11,62.06,2015-07-11
2015-07-12,62.06,2015-07-12
2015-07-13,64.04,2015-07-13
2015-07-14,64.94,2015-07-14
2015-07-15,64.04,2015-07-15
2015-07-16,64.04,2015-07-16
2015-07-17,64.04,2015-07-17
2015-07-18,64.04,2015-07-18
2015-07-19,64.04,2015-07-19
2015-07-20,71.96,2015-07-20
2015-07-21,,2015-07-21
2015-07-22,68.0,2015-07-22
2015-07-23,66.92,2015-07-23
2015-07-24,68.0,2015-07-24
2015-07-25,66.92,2015-07-25
2015-07-26,68.0,2015-07-26
2015-07-27,66.92,2015-07-27
2015-07-28,66.92,2015-07-28
2015-07-29,66.02,2015-07-29
2015-07-30,64.94,2015-07-30
2015-07-31,66.92,2015-07-31
2015-08-01,66.92,2015-08-01
2015-08-02,66.92,2015-08-02
2015-08-03,68.0,2015-08-03
2015-08-04,66.92,2015-08-04
2015-08-05,66.02,2015-08-05
2015-08-06,66.02,2015-08-06
2015-08-07,66.92,2015-08-07
2015-08-08,66.02,2015-08-08
2015-08-09,64.94,2015-08-09
2015-08-10,64.04,2015-08-10
2015-08-11,64.94,2015-08-11
2015-08-12,64.04,2015-08-12
2015-08-13,64.04,2015-08-13
2015-08-14,68.0,2015-08-14
2015-08-15,69.08,2015-08-15
2015-08-16,69.08,2015-08-16
2015-08-17,68.0,2015-08-17
2015-08-18,68.0,2015-08-18
2015-08-19,66.92,2015-08-19
2015-08-20,66.02,2015-08-20
2015-08-21,66.92,2015-08-21
2015-08-22,66.92,2015-08-22
2015-08-23,66.92,2015-08-23
2015-08-24,66.02,2015-08-24
2015-08-25,64.04,2015-08-25
2015-08-26,68.0,2015-08-26
2015-08-27,69.08,2015-08-27
2015-08-28,71.06,2015-08-28
2015-08-29,71.96,2015-08-29
2015-08-30,69.98,2015-08-30
2015-08-31,69.98,2015-08-31
